erle_db,erle_inst_db,erle_window_db,snr_in_db,snr_out_db,dtd_active,frame_index,beamformer_enabled,beamformer_algorithm,aec_enabled,aec_algorithm,nr_enabled,nr_algorithm
NaN,NaN,NaN,-12.8179817496123,-12.8179817496123,0,63,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0388604374323,-13.0388604374323,0,64,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8607949254439,-12.8607949254439,0,65,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9213102076892,-12.9213102076892,0,66,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0361505712684,-13.0361505712684,0,67,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8469042888818,-12.8469042888818,0,68,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.1583048190841,-13.1583048190841,0,69,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9184997959867,-12.9184997959867,0,70,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0097098625452,-13.0097098625452,0,71,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.1175668233459,-13.1175668233459,0,72,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8922006050581,-12.8922006050581,0,73,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9759092849215,-12.9759092849215,0,74,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.902231140012,-12.902231140012,0,75,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9395575951637,-12.9395575951637,0,76,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.8853640217839,-12.8853640217839,0,77,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0583904708934,-13.0583904708934,0,78,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-13.0274639824693,-13.0274639824693,0,79,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9642858499355,-12.9642858499355,0,80,0,das,0,nlms,0,traditional
NaN,NaN,NaN,-12.9782188079974,-12.9782188079974,0,81,0,das,0,nlms,0,traditional
